iter	Passed	Remaining
0	6	6856
1	11	5557
2	15	5064
3	18	4645
4	21	4336
5	26	4317
6	29	4222
7	34	4239
8	37	4120
9	40	4058
10	44	3973
11	47	3925
12	51	3896
13	54	3827
14	57	3777
15	61	3760
16	65	3770
17	68	3749
18	72	3739
19	75	3712
20	79	3687
21	82	3683
22	87	3701
23	90	3673
24	93	3650
25	96	3630
26	101	3648
27	106	3686
28	109	3682
29	113	3665
30	116	3652
31	120	3635
32	124	3634
33	128	3645
34	132	3646
35	137	3672
36	140	3659
37	144	3651
38	147	3638
39	152	3651
40	156	3653
41	159	3643
42	163	3632
43	166	3618
44	170	3628
45	175	3629
46	178	3621
47	182	3615
48	186	3611
49	189	3601
50	193	3595
51	196	3587
52	200	3577
53	204	3576
54	208	3576
55	211	3572
56	215	3566
57	219	3560
58	222	3554
59	226	3549
60	230	3549
61	234	3544
62	238	3545
63	242	3540
64	245	3534
65	249	3531
66	253	3526
67	256	3519
68	260	3513
69	264	3510
70	271	3553
71	275	3552
72	279	3549
73	283	3548
74	287	3548
75	291	3545
76	295	3541
77	299	3537
78	302	3531
79	306	3527
80	310	3523
81	314	3520
82	318	3519
83	322	3515
84	326	3511
85	330	3508
86	334	3509
87	338	3510
88	342	3507
89	346	3503
90	350	3500
91	354	3494
92	357	3490
93	361	3485
94	365	3481
95	369	3477
96	373	3475
97	377	3473
98	381	3469
99	385	3466
100	389	3463
101	393	3460
102	397	3458
103	401	3455
104	405	3452
105	408	3448
106	412	3445
107	416	3441
108	420	3437
109	424	3437
110	428	3434
111	432	3431
112	436	3427
113	440	3424
114	444	3420
115	448	3417
116	452	3414
117	456	3410
118	460	3408
119	464	3406
120	469	3412
121	474	3415
122	479	3420
123	483	3418
124	488	3416
125	492	3414
126	496	3412
127	500	3409
128	504	3407
129	508	3405
130	513	3407
131	517	3406
132	522	3405
133	526	3402
134	530	3399
135	534	3397
136	538	3394
137	542	3391
138	547	3388
139	551	3386
140	555	3384
141	559	3383
142	564	3381
143	568	3379
144	572	3378
145	577	3379
146	583	3383
147	587	3381
148	591	3380
149	596	3378
150	600	3377
151	604	3375
152	609	3372
153	614	3373
154	619	3379
155	624	3377
156	628	3376
157	633	3374
158	637	3372
159	642	3373
160	647	3371
161	651	3369
162	655	3367
163	660	3365
164	664	3363
165	669	3361
166	673	3359
167	678	3358
168	683	3358
169	688	3361
170	693	3360
171	697	3359
172	702	3358
173	707	3356
174	711	3355
175	716	3354
176	721	3353
177	725	3352
178	730	3351
179	735	3349
180	739	3348
181	744	3346
182	749	3344
183	753	3343
184	758	3341
185	763	3340
186	768	3339
187	772	3337
188	777	3336
189	782	3334
190	786	3333
191	791	3332
192	796	3330
193	801	3329
194	806	3327
195	810	3325
196	815	3323
197	820	3321
198	825	3323
199	830	3321
200	835	3319
201	839	3317
202	844	3314
203	848	3312
204	853	3310
205	858	3308
206	862	3306
207	867	3303
208	872	3301
209	877	3300
210	882	3298
211	886	3295
212	891	3295
213	896	3293
214	901	3291
215	906	3289
216	910	3286
217	915	3284
218	920	3281
219	924	3279
220	929	3276
221	934	3273
222	938	3270
223	943	3267
224	947	3265
225	952	3262
226	957	3259
227	961	3257
228	966	3254
229	972	3255
230	977	3253
231	981	3250
232	986	3247
233	991	3246
234	996	3243
235	1001	3240
236	1005	3237
237	1010	3234
238	1014	3231
239	1019	3228
240	1024	3225
241	1029	3223
242	1033	3220
243	1038	3217
244	1043	3214
245	1048	3212
246	1052	3209
247	1057	3206
248	1062	3203
249	1066	3200
250	1071	3197
251	1076	3194
252	1081	3191
253	1085	3188
254	1090	3185
255	1095	3185
256	1100	3182
257	1105	3180
258	1110	3176
259	1115	3173
260	1119	3170
261	1124	3167
262	1129	3164
263	1133	3161
264	1138	3158
265	1143	3155
266	1148	3151
267	1152	3147
268	1156	3143
269	1161	3139
270	1167	3139
271	1171	3135
272	1175	3130
273	1180	3126
274	1184	3122
275	1188	3118
276	1192	3113
277	1198	3112
278	1202	3107
279	1207	3104
280	1211	3100
281	1215	3095
282	1220	3092
283	1224	3087
284	1229	3083
285	1233	3078
286	1237	3074
287	1241	3069
288	1246	3065
289	1250	3061
290	1254	3056
291	1259	3053
292	1263	3049
293	1268	3046
294	1273	3042
295	1277	3039
296	1282	3035
297	1287	3031
298	1291	3028
299	1296	3024
300	1301	3021
301	1305	3017
302	1310	3014
303	1314	3010
304	1319	3006
305	1324	3003
306	1328	2999
307	1333	2995
308	1337	2991
309	1342	2987
310	1346	2984
311	1351	2980
312	1356	2976
313	1360	2973
314	1365	2969
315	1369	2965
316	1374	2961
317	1379	2957
318	1383	2953
319	1388	2950
320	1393	2946
321	1397	2942
322	1402	2940
323	1407	2936
324	1412	2932
325	1416	2928
326	1421	2925
327	1425	2921
328	1430	2917
329	1434	2913
330	1439	2909
331	1444	2905
332	1449	2902
333	1453	2898
334	1458	2895
335	1463	2891
336	1468	2889
337	1473	2885
338	1478	2881
339	1482	2878
340	1487	2874
341	1492	2870
342	1496	2867
343	1501	2864
344	1506	2860
345	1511	2856
346	1515	2852
347	1520	2848
348	1525	2845
349	1529	2841
350	1534	2837
351	1539	2833
352	1543	2829
353	1548	2825
354	1553	2822
355	1557	2818
356	1562	2814
357	1567	2810
358	1572	2807
359	1576	2803
360	1581	2799
361	1586	2795
362	1591	2791
363	1595	2787
