1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875640 cmd_find_current_client: no target, return (nil)
1715353443.875652 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875655 cmd_find_current_client: no target, return (nil)
1715353443.875660 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875663 cmd_find_current_client: no target, return (nil)
1715353443.875669 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875672 cmd_find_current_client: no target, return (nil)
1715353443.875678 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875681 cmd_find_current_client: no target, return (nil)
1715353443.875685 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875688 cmd_find_current_client: no target, return (nil)
1715353443.875693 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875696 cmd_find_current_client: no target, return (nil)
1715353443.875700 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875702 cmd_find_current_client: no target, return (nil)
1715353443.875707 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875710 cmd_find_current_client: no target, return (nil)
1715353443.875715 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875718 cmd_find_current_client: no target, return (nil)
1715353443.875722 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875725 cmd_find_current_client: no target, return (nil)
1715353443.875729 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875732 cmd_find_current_client: no target, return (nil)
1715353443.875737 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875740 cmd_find_current_client: no target, return (nil)
1715353443.875746 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875749 cmd_find_current_client: no target, return (nil)
1715353443.875753 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875755 cmd_find_current_client: no target, return (nil)
1715353443.875759 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875762 cmd_find_current_client: no target, return (nil)
1715353443.875765 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875768 cmd_find_current_client: no target, return (nil)
1715353443.875773 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875776 cmd_find_current_client: no target, return (nil)
1715353443.875781 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875784 cmd_find_current_client: no target, return (nil)
1715353443.875788 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875790 cmd_find_current_client: no target, return (nil)
1715353443.875795 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875798 cmd_find_current_client: no target, return (nil)
1715353443.875802 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875805 cmd_find_current_client: no target, return (nil)
1715353443.875810 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875817 cmd_find_current_client: no target, return (nil)
1715353443.875822 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875825 cmd_find_current_client: no target, return (nil)
1715353443.875829 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875832 cmd_find_current_client: no target, return (nil)
1715353443.875836 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875839 cmd_find_current_client: no target, return (nil)
1715353443.875843 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875846 cmd_find_current_client: no target, return (nil)
1715353443.875850 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875852 cmd_find_current_client: no target, return (nil)
1715353443.875856 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875859 cmd_find_current_client: no target, return (nil)
1715353443.875862 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875866 cmd_find_current_client: no target, return (nil)
1715353443.875870 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875873 cmd_find_current_client: no target, return (nil)
1715353443.875877 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875880 cmd_find_current_client: no target, return (nil)
1715353443.875885 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875888 cmd_find_current_client: no target, return (nil)
1715353443.875893 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875896 cmd_find_current_client: no target, return (nil)
1715353443.875900 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875902 cmd_find_current_client: no target, return (nil)
1715353443.875907 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875909 cmd_find_current_client: no target, return (nil)
1715353443.875913 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875916 cmd_find_current_client: no target, return (nil)
1715353443.875920 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.875923 cmd_find_current_client: no target, return (nil)
1715353443.876619 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.877278 cmd_find_current_client: no target, return (nil)
1715353443.877962 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.877979 cmd_find_current_client: no target, return (nil)
1715353443.877985 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.877988 cmd_find_current_client: no target, return (nil)
1715353443.877992 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.877995 cmd_find_current_client: no target, return (nil)
1715353443.877999 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878002 cmd_find_current_client: no target, return (nil)
1715353443.878007 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878009 cmd_find_current_client: no target, return (nil)
1715353443.878014 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878017 cmd_find_current_client: no target, return (nil)
1715353443.878021 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878024 cmd_find_current_client: no target, return (nil)
1715353443.878028 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878030 cmd_find_current_client: no target, return (nil)
1715353443.878034 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878037 cmd_find_current_client: no target, return (nil)
1715353443.878040 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878043 cmd_find_current_client: no target, return (nil)
1715353443.878047 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878050 cmd_find_current_client: no target, return (nil)
1715353443.878054 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878057 cmd_find_current_client: no target, return (nil)
1715353443.878061 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878064 cmd_find_current_client: no target, return (nil)
1715353443.878069 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878075 cmd_find_current_client: no target, return (nil)
1715353443.878080 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878083 cmd_find_current_client: no target, return (nil)
1715353443.878087 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878090 cmd_find_current_client: no target, return (nil)
1715353443.878094 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878097 cmd_find_current_client: no target, return (nil)
1715353443.878102 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878105 cmd_find_current_client: no target, return (nil)
1715353443.878110 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878113 cmd_find_current_client: no target, return (nil)
1715353443.878118 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878120 cmd_find_current_client: no target, return (nil)
1715353443.878125 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878128 cmd_find_current_client: no target, return (nil)
1715353443.878133 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878136 cmd_find_current_client: no target, return (nil)
1715353443.878140 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878143 cmd_find_current_client: no target, return (nil)
1715353443.878147 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878150 cmd_find_current_client: no target, return (nil)
1715353443.878154 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878157 cmd_find_current_client: no target, return (nil)
1715353443.878161 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878164 cmd_find_current_client: no target, return (nil)
1715353443.878169 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878171 cmd_find_current_client: no target, return (nil)
1715353443.878176 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878178 cmd_find_current_client: no target, return (nil)
1715353443.878183 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878185 cmd_find_current_client: no target, return (nil)
1715353443.878191 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878194 cmd_find_current_client: no target, return (nil)
1715353443.878199 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878202 cmd_find_current_client: no target, return (nil)
1715353443.878206 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878209 cmd_find_current_client: no target, return (nil)
1715353443.878213 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878216 cmd_find_current_client: no target, return (nil)
1715353443.878221 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878224 cmd_find_current_client: no target, return (nil)
1715353443.878229 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878232 cmd_find_current_client: no target, return (nil)
1715353443.878237 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878240 cmd_find_current_client: no target, return (nil)
1715353443.878244 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878247 cmd_find_current_client: no target, return (nil)
1715353443.878255 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878258 cmd_find_current_client: no target, return (nil)
1715353443.878263 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878266 cmd_find_current_client: no target, return (nil)
1715353443.878271 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878274 cmd_find_current_client: no target, return (nil)
1715353443.878279 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878282 cmd_find_current_client: no target, return (nil)
1715353443.878287 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878290 cmd_find_current_client: no target, return (nil)
1715353443.878296 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878298 cmd_find_current_client: no target, return (nil)
1715353443.878304 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878308 cmd_find_current_client: no target, return (nil)
1715353443.878314 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878316 cmd_find_current_client: no target, return (nil)
1715353443.878322 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878325 cmd_find_current_client: no target, return (nil)
1715353443.878330 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878333 cmd_find_current_client: no target, return (nil)
1715353443.878338 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878340 cmd_find_current_client: no target, return (nil)
1715353443.878345 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878348 cmd_find_current_client: no target, return (nil)
1715353443.878352 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878355 cmd_find_current_client: no target, return (nil)
1715353443.878360 cmdq_next <global>: command[bind-key] (0), flags 0
